# @name: ES -> EN
# @phrase1: You have learned the
# @phrase2: Spanish word for
# @quote: 0
# @accent: #FFC83C
# @accent_ref: #64A0FF
new	nuevo
young	joven
america	américa
important	importante
field	campo
east	este
paper	papel
single	soltero
age	edad
activities	actividades
example	ejemplo
girls	chicas
additional	adicional
password	contraseña
latest	el último
something	algo
road	camino
gift	regalo
question	pregunta
changes	cambios
night	noche
hard	duro
pay	pagar
four	cuatro
poker	póker
status	estado
browse	navegar
issue	asunto
range	rango
building	edificio
seller	vendedor
court	corte
february	febrero
result	resultado
light	luz
write	escribir
war	guerra
offer	oferta
blue	azul
groups	grupos
easy	fácil
given	dado
files	archivos
event	evento
release	liberar
analysis	análisis
request	pedido
china	porcelana
making	haciendo
picture	imagen
needs	necesidades
possible	posible
professional	profesional
month	mes
major	importante
star	estrella
areas	áreas
future	futuro
space	espacio
committee	comité
hand	mano
sun	sol
cards	tarjetas
problems	problemas
london	londres
meeting	reunión
become	convertirse
interest	interés
child	niño
keep	mantener
enter	ingresar
share	compartir
garden	jardín
schools	escuelas
million	millón
added	agregado
reference	referencia
companies	empresas
listed	listado
baby	bebé
learning	aprendiendo
energy	energía
run	correr
delivery	entrega
net	neto
term	término
film	película
stories	historias
put	poner
computers	computadoras
journal	diario
reports	informes
try	intentar
welcome	bienvenido
images	imágenes
president	presidente
notice	aviso
head	cabeza
cell	celúla
self	ser
council	concejo
away	lejos
includes	incluye
track	pista
discussion	discusión
archive	archivo
once	una vez
others	otros
entertainment	entretenimiento
agreement	acuerdo
format	formato
least	el menos
society	sociedad
months	meses
log	registro
safety	seguridad
friends	amigos
sure	seguro
faq	preguntas frecuentes
trade	comercio
edition	edición
cars	carros
messages	mensajes
tell	decir
further	más
updated	actualizado
association	asociación
able	capaz
having	teniendo
provides	proporciona
fun	divertido
green	verde
studies	estudios
close	cerca
common	común
drive	conducir
specific	específico
several	varios
gold	oro
living	viviendo
collection	recopilación
called	llamado
short	corto
arts	letras
lot	lote
ask	preguntar
display	mostrar
limited	limitado
powered	motorizado
solutions	soluciones
means	medio
daily	a diario
beach	playa
past	pasado
whether	si
due	pendiente
electronics	electrónica
five	cinco
upon	al
period	período
planning	planificación
database	base de datos
says	dice
official	oficial
weather	clima
land	tierra
average	promedio
done	hecho
technical	técnico
window	ventana
france	francia
region	región
island	isla
record	registro
direct	directo
conference	conferencia
environment	ambiente
records	archivos
district	distrito
calendar	calendario
costs	costos
style	estilo
front	frente
statement	declaración
update	actualizar
parts	regiones
aug	ago
downloads	descargas
early	temprano
miles	millas
sound	sonido
resource	recurso
present	presente
applications	aplicaciones
ago	atrás
document	documento
word	palabra
works	obras
bill	factura
apr	abr
written	escrito
talk	hablar
hosting	alojamiento
rules	normas
adult	adulto
tickets	entradas
thing	cosa
centre	centro
requirements	requisitos
via	a través de
cheap	barato
kids	niños
finance	finanzas
true	verdadero
minutes	minutos
else	demás
mark	marca
third	tercero
rock	roca
gifts	regalos
europe	europa
reading	lectura
topics	temas
bad	malo
tips	consejos
plus	más
cover	cubrir
usually	generalmente
edit	editar
together	juntos
videos	vídeos
percent	por ciento
fast	rápido
function	función
fact	hecho
unit	unidad
getting	conseguir
tech	tecnología
meet	encontrarse
far	lejos
economic	económico
player	jugador
projects	proyectos
lyrics	lírica
subscribe	suscribir
submit	entregar
germany	alemania
amount	cantidad
watch	mirar
included	incluido
feel	sentir
bank	banco
risk	riesgo
everything	todo
deals	ofertas
various	varios
words	palabras
production	producción
commercial	comercial
james	jaime
weight	peso
town	ciudad
heart	corazón
advertising	publicidad
received	recibió
choose	elegir
treatment	tratamiento
newsletter	hoja informativa
archives	archivo
points	agujas
knowledge	conocimiento
magazine	revista
camera	cámara
girl	chica
currently	actualmente
construction	construcción
toys	juguetes
registered	registrado
clear	claro
receive	recibir
domain	dominio
methods	metodos
chapter	capítulo
makes	marcas
protection	protección
policies	políticas
loan	préstamo
wide	ancho
beauty	belleza
manager	gerente
position	posición
taken	tomado
sort	clasificar
listings	listados
models	modelos
michael	miguel
known	conocido
half	medio
cases	casos
step	paso
engineering	ingeniería
quick	rápido
none	ninguno
wireless	inalámbrico
license	licencia
paul	pablo
friday	viernes
lake	lago
whole	entero
annual	anual
published	publicado
later	más tarde
basic	básico
shows	muestra
corporate	corporativo
church	iglesia
method	método
purchase	compra
customers	clientes
active	activo
response	respuesta
practice	práctica
figure	cifra
materials	materiales
fire	fuego
holiday	día festivo
chat	charlar
enough	suficiente
designed	diseñado
along	a lo largo de
among	entre
death	muerte
writing	escribiendo
speed	velocidad
countries	países
loss	pérdida
face	rostro
brand	marca
discount	descuento
higher	más alto
effects	efectos
created	creado
remember	recordar
standards	estándares
oil	aceite
bit	poco
yellow	amarillo
political	político
increase	aumentar
advertise	anunciar
kingdom	reino
near	cerca
environmental	ambiental
thought	pensamiento
stuff	cosa
french	francés
storage	almacenamiento
japan	japón
doing	haciendo
loans	préstamos
shoes	zapatos
entry	entrada
stay	permanecer
nature	naturaleza
orders	pedidos
availability	disponibilidad
africa	áfrica
summary	resumen
turn	doblar
mean	significar
growth	crecimiento
notes	notas
agency	agencia
king	rey
monday	lunes
european	europeo
activity	actividad
copy	copiar
drug	droga
pics	fotos
western	occidental
income	ingreso
force	fuerza
cash	dinero
employment	empleo
overall	en general
bay	bahía
river	río
commission	comisión
package	paquete
contents	contenido
seen	visto
players	jugadores
engine	motor
port	puerto
album	álbum
stop	detener
supplies	suministros
started	comenzó
administration	administración
institute	instituto
views	vistas
plans	planes
double	doble
dog	perro
build	construir
screen	pantalla
exchange	intercambio
types	tipos
soon	pronto
sponsored	patrocinado
lines	pauta
electronic	electrónico
continue	continuar
across	al otro lado de
benefits	beneficios
needed	necesario
season	estación
apply	aplicar
someone	alguien
held	sostuvo
anything	cualquier cosa
printer	impresora
condition	condición
effective	eficaz
believe	creer
organization	organización
effect	efecto
asked	preguntó
eur	euros
mind	mente
sunday	domingo
selection	selección
lost	perdido
tour	recorrido
menu	menú
volume	volumen
cross	cruz
anyone	alguien
mortgage	hipoteca
hope	esperanza
silver	plata
corporation	corporación
wish	desear
inside	adentro
solution	solución
mature	maduro
rather	bastante
weeks	semanas
addition	suma
came	vino
supply	suministrar
nothing	nada
certain	cierto
executive	ejecutivo
running	correr
lower	más bajo
necessary	necesario
union	unión
jewelry	joyas
according	de acuerdo a
clothing	ropa
mon	lun
fine	bien
names	nombres
robert	roberto
homepage	página principal
hour	hora
skills	habilidades
six	seis
bush	arbusto
islands	islas
advice	consejo
career	carrera
military	militar
rental	alquiler
decision	decisión
leave	dejar
british	británico
teens	edad de adolescencia
huge	enorme
sat	se sentó
woman	mujer
facilities	instalaciones
zip	cremallera
bid	licitación
kind	amable
sellers	vendedores
middle	medio
move	mover
opportunities	oportunidades
taking	tomando
values	valores
division	división
coming	próximo
tuesday	martes
object	objeto
lesbian	lesbiana
appropriate	adecuado
machine	máquina
length	longitud
actually	de hecho
nice	lindo
score	puntaje
statistics	estadística
client	cliente
returns	regresa
follow	seguir
sample	muestra
investment	inversión
sent	enviado
shown	mostrado
saturday	sábado
christmas	navidad
england	inglaterra
culture	cultura
band	banda
flash	destello
lead	dirigir
george	jorge
choice	elección
went	fue
starting	a partir de
registration	registro
fri	vie
thursday	jueves
courses	cursos
consumer	consumidor
airport	aeropuerto
foreign	extranjero
artist	artista
outside	afuera
furniture	muebles
levels	niveles
channel	canal
letter	carta
mode	modo
phones	telefonos
wednesday	miércoles
structure	estructura
fund	financiar
summer	verano
allow	permitir
degree	grado
contract	contrato
button	botón
releases	lanzamientos
wed	casarse
homes	hogares
super	súper
male	masculino
matter	asunto
custom	costumbre
almost	casi
took	tomó
located	situado
multiple	múltiple
asian	asiático
distribution	distribución
inn	posada
cause	causa
potential	potencial
song	canción
ltd	limitado
focus	enfocar
late	tarde
