# @name: ES -> CZ
# @phrase1: naučili jste se
# @phrase2: španělské slovíčko pro
# @quote: 0
# @accent: #FFC83C
# @accent_ref: #C83C50
nový	nuevo
pobyt	permanecer
příroda	naturaleza
objednávky	pedidos
dostupnost	disponibilidad
afrika	áfrica
shrnutí	resumen
zatočit	doblar
střední	significar
růst	crecimiento
poznámky	notas
agentura	agencia
král	rey
pondělí	lunes
evropský	europeo
aktivita	actividad
kopie	copiar
lék	droga
obrázky	fotos
západní	occidental
příjem	ingreso
platnost	fuerza
hotovost	dinero
zaměstnanost	empleo
celkově	en general
záliv	bahía
řeka	río
komise	comisión
balík	paquete
obsah	contenido
viděl	visto
hráčů	jugadores
přístav	puerto
album	álbum
regionální	regional
zastávka	detener
zásoby	suministros
začala	comenzó
správa	administración
ústav	instituto
pohledy	vistas
plány	planes
dvojnásobek	doble
pes	perro
vytvořit	construir
obrazovka	pantalla
výměna	intercambio
typy	tipos
brzy	pronto
sponzorované	patrocinado
linky	pauta
elektronický	electrónico
pokračovat	continuar
přes	al otro lado de
výhod	beneficios
potřebná	necesario
sezóna	estación
uplatnit	aplicar
někdo	alguien
držený	sostuvo
nic	cualquier cosa
tiskárna	impresora
stav	condición
efektivní	eficaz
věřit	creer
organizace	organización
účinek	efecto
zeptal se	preguntó
eur	euros
mysl	mente
neděle	domingo
výběr	selección
kasino	casino
ztracený	perdido
turné	recorrido
menu	menú
objem	volumen
kříž	cruz
kdokoliv	alguien
hypotéka	hipoteca
naděje	esperanza
stříbro	plata
korporace	corporación
přání	desear
uvnitř	adentro
řešení	solución
zralý	maduro
spíše	bastante
týdnů	semanas
přidání	suma
přišel	vino
zásobování	suministrar
nic	nada
určitý	cierto
výkonný	ejecutivo
běh	correr
spodní	más bajo
nutné	necesario
unie	unión
šperky	joyas
podle	de acuerdo a
oblečení	ropa
po	lun
konkrétní	particular
dobře	bien
jména	nombres
robert	roberto
domovskou stránku	página principal
hodina	hora
plyn	gas
dovednosti	habilidades
šest	seis
keř	arbusto
ostrovy	islas
radu	consejo
kariéra	carrera
válečný	militar
pronájem	alquiler
rozhodnutí	decisión
dovolená	dejar
britský	británico
dospívající	edad de adolescencia
před	pre
obrovský	enorme
seděl	se sentó
žena	mujer
zařízení	instalaciones
zip	cremallera
nabídka	licitación
druh	amable
prodejců	vendedores
střední	medio
pohyb	mover
kabel	cable
příležitosti	oportunidades
brát	tomando
hodnoty	valores
divize	división
příchod	próximo
úterý	martes
objekt	objeto
lesbička	lesbiana
přivlastnit si	adecuado
stroj	máquina
délka	longitud
vlastně	de hecho
pěkný	lindo
skóre	puntaje
statistika	estadística
klienta	cliente
se vrací	regresa
kapitál	capital
následovat	seguir
ochutnat	muestra
investice	inversión
odesláno	enviado
zobrazeno	mostrado
sobota	sábado
vánoce	navidad
anglie	inglaterra
kultura	cultura
kapela	banda
blikat	destello
vést	dirigir
george	jorge
výběr	elección
šel	fue
spouštění	a partir de
registrace	registro
pá	vie
čtvrtek	jueves
kurzy	cursos
spotřebitel	consumidor
letiště	aeropuerto
zahraniční	extranjero
umělec	artista
mimo	afuera
nábytek	muebles
úrovně	niveles
kanál	canal
dopis	carta
režimu	modo
telefony	telefonos
nápady	ideas
středa	miércoles
struktura	estructura
fond	financiar
letní	verano
dovolit	permitir
stupeň	grado
smlouva	contrato
tlačítko	botón
vydání	lanzamientos
st	casarse
domovů	hogares
super	súper
samec	masculino
hmota	asunto
zvyk	costumbre
virginie	virginia
téměř	casi
vzal	tomó
nachází	situado
násobek	múltiple
asijský	asiático
rozdělení	distribución
hostinec	posada
průmyslový	industrial
příčina	causa
potenciál	potencial
píseň	canción
spol	limitado
soustředit	enfocar
pozdě	tarde
