# @name: EN -> CZ
# @phrase1: naučili jste se
# @phrase2: anglické slovíčko pro
# @quote: 0
# @accent: #64A0FF
# @accent_ref: #C83C50
nový	new
vlákno	thread
týden	week
kategorie	category
poznámka	note
žít	live
velký	large
galerie	gallery
tabulka	table
rejstřík	register
však	however
červen	june
říjen	october
listopad	november
trh	market
knihovna	library
opravdu	really
akce	action
série	series
funkce	features
vzduch	air
průmysl	industry
plán	plan
člověk	human
pokud	provided
požadovaný	required
druhý	second
horký	hot
příslušenství	accessories
náklady	cost
film	movie
fórech	forums
pochod	march
září	september
lepší	better
říci	say
otázky	questions
červenec	july
jít	going
lékařský	medical
přítel	friend
přijít	come
prosinec	dec
studie	study
aplikace	application
vozík	cart
personál	staff
články	articles
zpětná vazba	feedback
znovu	again
hrát	play
hledá	looking
problémy	issues
duben	april
uživatelů	users
kompletní	complete
ulice	street
téma	topic
komentář	comment
finanční	financial
věci	things
pracovní	working
norma	standard
daň	tax
osoba	person
mobilní	mobile
méně	less
dostal	got
strana	party
platba	payment
zařízení	equipment
přihlášení	login
nechat	let
programy	programs
nabídky	offers
právní	legal
nedávné	recent
obchody	stores
strana	side
akt	act
problém	problem
červený	red
dát	give
paměť	memory
výkon	performance
sociální	social
srpen	august
citovat	quote
jazyk	language
příběh	story
prodat	sell
možnosti	options
zažít	experience
sazby	rates
vytvořit	create
klíč	key
tělo	body
mladý	young
amerika	america
důležité	important
pole	field
východní	east
papír	paper
singl	single
stáří	age
činnosti	activities
klub	club
příklad	example
dívky	girls
další	additional
heslo	password
nejnovější	latest
něco	something
silnice	road
dárek	gift
otázka	question
změny	changes
noc	night
tvrdý	hard
okt	oct
platit	pay
čtyři	four
postavení	status
prohlížet	browse
problém	issue
rozsah	range
budova	building
prodejce	seller
soud	court
únor	february
výsledek	result
světlo	light
napsat	write
válka	war
listopad	nov
nabídka	offer
modrý	blue
skupiny	groups
snadný	easy
daný	given
soubory	files
událost	event
uvolnění	release
analýza	analysis
žádost	request
čína	china
vytváření	making
obrázek	picture
potřeby	needs
možné	possible
profesionální	professional
měsíc	month
hlavní	major
hvězda	star
oblastí	areas
budoucnost	future
plocha	space
výbor	committee
ruka	hand
slunce	sun
karty	cards
problémy	problems
londýn	london
zasedání	meeting
stát se	become
zajímat	interest
dítě	child
zachovat	keep
vstoupit	enter
kalifornie	california
podíl	share
podobný	similar
zahrada	garden
školy	schools
milión	million
přidáno	added
odkaz	reference
společnosti	companies
uvedeny	listed
dítě	baby
učení	learning
energie	energy
běh	run
dodání	delivery
síť	net
populární	popular
období	term
příběhy	stories
dát	put
počítače	computers
časopis	journal
zprávy	reports
pokus	try
vítejte	welcome
centrální	central
obrázky	images
prezident	president
oznámení	notice
originál	original
hlava	head
rádio	radio
buňka	cell
barva	color
já	self
rada	council
pryč	away
zahrnuje	includes
dráha	track
austrálie	australia
diskuse	discussion
archiv	archive
jednou	once
ostatní	others
zábava	entertainment
dohoda	agreement
formát	format
nejméně	least
společnost	society
měsíce	months
bezpečnost	safety
přátelé	friends
jistě	sure
často kladené otázky	faq
obchod	trade
vydání	edition
auta	cars
zprávy	messages
sdělit	tell
další	further
aktualizováno	updated
sdružení	association
schopný	able
mít	having
poskytuje	provides
zábava	fun
zelený	green
studie	studies
blízko	close
společný	common
řídit	drive
konkrétní	specific
několik	several
zlato	gold
únor	feb
živobytí	living
září	sep
sbírka	collection
volal	called
krátký	short
umění	arts
hodně	lot
požádat	ask
zobrazit	display
omezený	limited
napájen	powered
řešení	solutions
prostředek	means
ředitel	director
denní	daily
pláž	beach
minulost	past
přírodní	natural
zda	whether
splatná	due
elektronika	electronics
pět	five
na	upon
období	period
plánování	planning
databáze	database
říká	says
oficiální	official
počasí	weather
přistát	land
průměrný	average
hotovo	done
technický	technical
okno	window
francie	france
kraj	region
ostrov	island
záznam	record
řídit	direct
konference	conference
prostředí	environment
evidence	records
okres	district
kalendář	calendar
náklady	costs
styl	style
přední	front
prohlášení	statement
aktualizovat	update
díly	parts
srpen	aug
stahování	downloads
brzy	early
mil	miles
zvuk	sound
zdroj	resource
současnost	present
aplikací	applications
před	ago
dokument	document
slovo	word
funguje	works
materiál	material
účtovat	bill
duben	apr
napsáno	written
mluvit	talk
federální	federal
hostování	hosting
pravidla	rules
finále	final
dospělý	adult
vstupenky	tickets
věc	thing
centrum	centre
požadavky	requirements
přes	via
levný	cheap
děti	kids
věrný	true
zápis	minutes
jiný	else
označit	mark
třetí	third
dárky	gifts
evropa	europe
čtení	reading
témata	topics
špatný	bad
individuální	individual
tipy	tips
pokrýt	cover
obvykle	usually
upravit	edit
spolu	together
videa	videos
procent	percent
rychle	fast
funkce	function
skutečnost	fact
jednotka	unit
získávání	getting
globální	global
setkat se	meet
daleko	far
hospodářský	economic
hráč	player
projekty	projects
text	lyrics
upsat	subscribe
předložit	submit
německo	germany
množství	amount
hodinky	watch
v ceně	included
cítit	feel
banka	bank
riziko	risk
všechno	everything
nabídky	deals
různé	various
slova	words
července	jul
výroba	production
komerční	commercial
hmotnost	weight
město	town
srdce	heart
inzerce	advertising
přijaté	received
vybrat	choose
zacházení	treatment
bulletin	newsletter
archiv	archives
body	points
znalost	knowledge
časopis	magazine
chyba	error
fotoaparát	camera
dívka	girl
v současné době	currently
konstrukce	construction
hračky	toys
registrovaný	registered
jasný	clear
dostávat	receive
doména	domain
metody	methods
kapitola	chapter
dělá	makes
ochrana	protection
politiky	policies
půjčka	loan
široký	wide
krása	beauty
manažer	manager
indie	india
pozice	position
přijato	taken
seřadit	sort
výpisy	listings
modely	models
známý	known
půl	half
případy	cases
krok	step
inženýrství	engineering
jednoduchý	simple
rychlý	quick
žádný	none
bezdrátový	wireless
licence	license
pavel	paul
pátek	friday
jezero	lake
celý	whole
výroční	annual
zveřejněno	published
později	later
základní	basic
ukazuje	shows
firemní	corporate
kostel	church
metoda	method
nákup	purchase
zákazníky	customers
aktivní	active
odpověď	response
praxe	practice
železářské zboží	hardware
postava	figure
materiálů	materials
oheň	fire
dovolená	holiday
povídání	chat
dost	enough
navržený	designed
podél	along
mezi	among
smrt	death
psaní	writing
rychlost	speed
zemí	countries
ztráta	loss
tvář	face
značka	brand
sleva	discount
vyšší	higher
efekty	effects
vytvořené	created
pamatovat si	remember
standardy	standards
olej	oil
žluť	yellow
politický	political
zvýšení	increase
inzerovat	advertise
království	kingdom
báze	base
u	near
životního prostředí	environmental
myšlení	thought
nacpat	stuff
francouzština	french
skladování	storage
japonsko	japan
dělá	doing
půjčky	loans
obuv	shoes
vstup	entry
pobyt	stay
příroda	nature
objednávky	orders
dostupnost	availability
afrika	africa
shrnutí	summary
zatočit	turn
střední	mean
růst	growth
poznámky	notes
agentura	agency
král	king
pondělí	monday
evropský	european
aktivita	activity
kopie	copy
lék	drug
obrázky	pics
západní	western
příjem	income
platnost	force
hotovost	cash
zaměstnanost	employment
celkově	overall
záliv	bay
řeka	river
komise	commission
balík	package
obsah	contents
viděl	seen
hráčů	players
motor	engine
přístav	port
regionální	regional
zastávka	stop
zásoby	supplies
začala	started
správa	administration
ústav	institute
pohledy	views
plány	plans
dvojnásobek	double
pes	dog
vytvořit	build
obrazovka	screen
výměna	exchange
typy	types
brzy	soon
sponzorované	sponsored
linky	lines
elektronický	electronic
pokračovat	continue
přes	across
výhod	benefits
potřebná	needed
sezóna	season
uplatnit	apply
někdo	someone
držený	held
nic	anything
tiskárna	printer
stav	condition
efektivní	effective
věřit	believe
organizace	organization
účinek	effect
zeptal se	asked
mysl	mind
neděle	sunday
výběr	selection
kasino	casino
ztracený	lost
turné	tour
objem	volume
kříž	cross
kdokoliv	anyone
hypotéka	mortgage
naděje	hope
stříbro	silver
korporace	corporation
přání	wish
uvnitř	inside
řešení	solution
zralý	mature
spíše	rather
týdnů	weeks
přidání	addition
přišel	came
zásobování	supply
nic	nothing
určitý	certain
výkonný	executive
běh	running
spodní	lower
nutné	necessary
unie	union
šperky	jewelry
podle	according
oblečení	clothing
po	mon
konkrétní	particular
dobře	fine
jména	names
domovskou stránku	homepage
hodina	hour
plyn	gas
dovednosti	skills
šest	six
keř	bush
ostrovy	islands
radu	advice
kariéra	career
válečný	military
pronájem	rental
rozhodnutí	decision
dovolená	leave
britský	british
dospívající	teens
před	pre
obrovský	huge
seděl	sat
žena	woman
zařízení	facilities
nabídka	bid
druh	kind
prodejců	sellers
střední	middle
pohyb	move
kabel	cable
příležitosti	opportunities
brát	taking
hodnoty	values
divize	division
příchod	coming
úterý	tuesday
objekt	object
lesbička	lesbian
přivlastnit si	appropriate
stroj	machine
délka	length
vlastně	actually
pěkný	nice
skóre	score
statistika	statistics
klienta	client
se vrací	returns
kapitál	capital
následovat	follow
ochutnat	sample
investice	investment
odesláno	sent
zobrazeno	shown
sobota	saturday
vánoce	christmas
anglie	england
kultura	culture
kapela	band
blikat	flash
vést	lead
výběr	choice
šel	went
spouštění	starting
registrace	registration
pá	fri
čtvrtek	thursday
kurzy	courses
spotřebitel	consumer
letiště	airport
zahraniční	foreign
umělec	artist
mimo	outside
nábytek	furniture
úrovně	levels
kanál	channel
dopis	letter
režimu	mode
telefony	phones
nápady	ideas
středa	wednesday
struktura	structure
fond	fund
letní	summer
dovolit	allow
stupeň	degree
smlouva	contract
tlačítko	button
vydání	releases
st	wed
domovů	homes
samec	male
hmota	matter
zvyk	custom
virginie	virginia
téměř	almost
vzal	took
nachází	located
násobek	multiple
asijský	asian
rozdělení	distribution
hostinec	inn
průmyslový	industrial
příčina	cause
potenciál	potential
píseň	song
spol	ltd
soustředit	focus
pozdě	late
